datetime,temperature,humidity
2021-05-12 12:14:11.387,15.0,35.0
2021-05-12 12:14:13.648,15.0,35.0
2021-05-12 12:14:15.908,15.0,35.0
2021-05-12 12:14:18.169,15.0,35.0
2021-05-12 12:14:20.429,15.0,35.0
2021-05-12 12:14:22.690,15.0,35.0
2021-05-12 12:14:24.950,15.0,35.0
2021-05-12 12:14:27.210,15.0,35.0
2021-05-12 12:14:29.471,15.0,35.0
2021-05-12 12:14:31.731,15.0,35.0
2021-05-12 12:14:33.991,15.0,35.0
2021-05-12 12:14:36.251,15.0,35.0
2021-05-12 12:14:38.512,15.0,35.0
2021-05-12 12:14:40.773,15.0,35.0
2021-05-12 12:14:43.034,15.0,35.0
2021-05-12 12:14:45.294,15.0,35.0
2021-05-12 12:14:47.555,15.0,35.0
2021-05-12 12:14:49.816,15.0,35.0
2021-05-12 12:14:52.077,15.0,35.0
2021-05-12 12:14:54.337,15.0,35.0
2021-05-12 12:14:56.598,15.0,34.0
2021-05-12 12:14:58.859,15.0,34.0
2021-05-12 12:15:01.119,15.0,34.0
2021-05-12 12:15:03.380,15.0,34.0
2021-05-12 12:15:05.640,15.0,34.0
2021-05-12 12:15:07.901,15.0,34.0
2021-05-12 12:15:10.161,15.0,34.0
2021-05-12 12:15:12.422,15.0,34.0
2021-05-12 12:15:14.683,15.0,34.0
2021-05-12 12:15:16.943,15.0,34.0
2021-05-12 12:15:19.204,15.0,34.0
2021-05-12 12:15:21.464,15.0,34.0
2021-05-12 12:15:23.736,15.0,34.0
2021-05-12 12:15:25.996,15.0,33.0
2021-05-12 12:15:28.257,15.0,33.0
2021-05-12 12:15:30.518,15.0,33.0
2021-05-12 12:15:32.778,15.0,33.0
2021-05-12 12:15:35.039,15.0,33.0
2021-05-12 12:15:37.299,15.0,33.0
2021-05-12 12:15:39.560,15.0,33.0
2021-05-12 12:15:41.820,15.0,33.0
2021-05-12 12:15:44.081,15.0,33.0
2021-05-12 12:15:46.342,15.0,33.0
2021-05-12 12:15:48.603,15.0,33.0
2021-05-12 12:15:50.863,15.0,33.0
2021-05-12 12:15:53.124,15.0,33.0
2021-05-12 12:15:55.385,15.0,33.0
2021-05-12 12:15:57.645,15.0,33.0
2021-05-12 12:15:59.905,15.0,33.0
2021-05-12 12:16:02.166,15.0,33.0
2021-05-12 12:16:04.427,15.0,33.0
2021-05-12 12:16:06.687,15.0,33.0
2021-05-12 12:16:08.948,15.0,33.0
2021-05-12 12:16:11.209,15.0,33.0
2021-05-12 12:16:13.470,15.0,33.0
2021-05-12 12:16:15.731,15.0,33.0
2021-05-12 12:16:17.992,15.0,33.0
2021-05-12 12:16:20.252,15.0,33.0
2021-05-12 12:16:22.513,15.0,33.0
2021-05-12 12:16:24.773,15.0,33.0
2021-05-12 12:16:27.034,15.0,33.0
