datetime,temperature,humidity
2021-05-12 12:34:56.727,24.0,24.0
2021-05-12 12:34:58.987,24.0,23.0
2021-05-12 12:35:01.247,24.0,23.0
2021-05-12 12:35:03.508,24.0,23.0
2021-05-12 12:35:05.768,24.0,23.0
2021-05-12 12:35:08.029,24.0,23.0
2021-05-12 12:35:10.289,24.0,23.0
2021-05-12 12:35:12.550,24.0,23.0
2021-05-12 12:35:14.811,24.0,23.0
2021-05-12 12:35:17.072,24.0,22.0
2021-05-12 12:35:19.332,24.0,22.0
2021-05-12 12:35:21.592,24.0,22.0
2021-05-12 12:35:23.852,24.0,22.0
2021-05-12 12:35:26.112,24.0,22.0
2021-05-12 12:35:28.372,24.0,22.0
2021-05-12 12:35:30.632,24.0,22.0
2021-05-12 12:35:32.893,24.0,22.0
2021-05-12 12:35:35.155,24.0,22.0
2021-05-12 12:35:37.415,24.0,22.0
2021-05-12 12:35:39.677,24.0,22.0
2021-05-12 12:35:41.939,24.0,22.0
2021-05-12 12:35:44.200,24.0,22.0
2021-05-12 12:35:46.460,24.0,22.0
2021-05-12 12:35:48.721,24.0,22.0
2021-05-12 12:35:50.982,24.0,21.0
2021-05-12 12:35:53.243,24.0,22.0
2021-05-12 12:35:55.503,24.0,22.0
2021-05-12 12:35:57.763,24.0,22.0
2021-05-12 12:36:00.024,24.0,22.0
2021-05-12 12:36:02.284,24.0,22.0
2021-05-12 12:36:04.545,24.0,22.0
2021-05-12 12:36:06.807,24.0,22.0
2021-05-12 12:36:09.067,24.0,22.0
2021-05-12 12:36:11.327,24.0,22.0
2021-05-12 12:36:13.587,24.0,22.0
2021-05-12 12:36:15.847,24.0,22.0
2021-05-12 12:36:18.107,24.0,21.0
2021-05-12 12:36:20.368,24.0,21.0
2021-05-12 12:36:22.628,23.0,21.0
2021-05-12 12:36:24.890,23.0,21.0
2021-05-12 12:36:27.151,23.0,21.0
2021-05-12 12:36:29.411,23.0,21.0
2021-05-12 12:36:31.671,23.0,21.0
2021-05-12 12:36:33.932,23.0,22.0
2021-05-12 12:36:36.192,23.0,22.0
2021-05-12 12:36:38.453,23.0,22.0
2021-05-12 12:36:40.713,23.0,22.0
2021-05-12 12:36:42.974,23.0,22.0
2021-05-12 12:36:45.234,23.0,22.0
2021-05-12 12:36:47.494,23.0,22.0
2021-05-12 12:36:49.755,23.0,22.0
2021-05-12 12:36:52.015,23.0,22.0
2021-05-12 12:36:54.276,23.0,22.0
2021-05-12 12:36:56.536,23.0,22.0
2021-05-12 12:36:58.797,23.0,22.0
2021-05-12 12:37:01.063,23.0,22.0
2021-05-12 12:37:03.333,23.0,23.0
2021-05-12 12:37:05.594,23.0,23.0
2021-05-12 12:37:07.951,23.0,23.0
2021-05-12 12:37:10.294,23.0,23.0
2021-05-12 12:37:12.554,23.0,23.0
